---
doc_id: "COST_003"
type: "cost"
category: "parts_catalog"
building_id: "all_buildings"
effective_date: "2024-01-01"
last_updated: "2025-11-13"
version: "1.0"
keywords: ["parts", "materials", "SKU", "HVAC", "pricing", "inventory"]
author: "Maintenance Director"
approver: "Finance Director"
---
SKU,Part_Name,Category,Unit_Price_USD,Typical_Quantity,Unit,Lead_Time_Days,Stock_Status,Supplier,Warranty_Days,Notes
HVAC-001,Air Filter Standard 16x20x1,HVAC,12.50,1,each,0,in_stock,HVAC Supply Co,30,Standard residential filter
HVAC-002,Air Filter MERV 13 16x20x1,HVAC,22.00,1,each,0,in_stock,HVAC Supply Co,30,High efficiency filter
HVAC-003,Capacitor 45/5 MFD,HVAC,35.00,1,each,1,in_stock,HVAC Supply Co,90,Dual run capacitor
HVAC-004,Contactor 30 Amp,HVAC,28.00,1,each,1,in_stock,HVAC Supply Co,90,Single pole contactor
HVAC-005,Refrigerant R-410A,HVAC,180.00,5,lbs,2,low_stock,HVAC Supply Co,0,Per pound pricing
HVAC-006,Condensate Pump,HVAC,85.00,1,each,2,in_stock,HVAC Supply Co,180,Submersible pump
HVAC-007,Thermostat Wire 18/8,HVAC,45.00,250,feet,1,in_stock,Electrical Supply,0,Sold per 250ft roll
HVAC-008,Programmable Thermostat,HVAC,125.00,1,each,0,in_stock,HVAC Supply Co,365,Wi-Fi enabled
HVAC-009,UV Dye Kit,HVAC,25.00,1,kit,0,in_stock,HVAC Supply Co,0,Leak detection kit
HVAC-010,Valve Core Remover Tool,HVAC,15.00,1,each,0,in_stock,HVAC Supply Co,0,Refrigerant service tool
HVAC-BUNDLE-001,AC Leak Detection Kit,HVAC,225.00,1,kit,1,in_stock,HVAC Supply Co,0,"Bundle: UV dye + refrigerant 1lb + valve cores"
PLUMB-001,Wax Ring Standard,Plumbing,4.50,1,each,0,in_stock,Plumbing Depot,0,Toilet seal
PLUMB-002,Flapper Valve Universal,Plumbing,8.00,1,each,0,in_stock,Plumbing Depot,90,Toilet tank flapper
PLUMB-003,Fill Valve Universal,Plumbing,12.00,1,each,0,in_stock,Plumbing Depot,90,Toilet tank fill valve
PLUMB-004,Faucet Cartridge Standard,Plumbing,35.00,1,each,1,in_stock,Plumbing Depot,180,Single handle cartridge
PLUMB-005,P-Trap 1.5 inch PVC,Plumbing,6.50,1,each,0,in_stock,Plumbing Depot,0,Sink drain trap
PLUMB-006,Supply Line Braided 12 inch,Plumbing,8.00,2,each,0,in_stock,Plumbing Depot,0,Faucet supply hose
PLUMB-007,Drain Snake 25ft,Plumbing,35.00,1,each,0,in_stock,Plumbing Depot,180,Manual auger
PLUMB-008,Pipe Sealant Tape,Plumbing,2.50,1,roll,0,in_stock,Plumbing Depot,0,Teflon tape
PLUMB-009,PVC Cement 8oz,Plumbing,6.00,1,can,0,in_stock,Plumbing Depot,0,Pipe adhesive
PLUMB-010,Shut-off Valve Quarter Turn,Plumbing,18.00,1,each,1,in_stock,Plumbing Depot,180,Angle stop valve
PLUMB-011,Garbage Disposal 3/4 HP,Plumbing,145.00,1,each,3,in_stock,Plumbing Depot,730,InSinkErator model
PLUMB-012,Water Heater Element 4500W,Plumbing,22.00,1,each,1,in_stock,Plumbing Depot,90,Electric water heater
PLUMB-013,Pressure Relief Valve 3/4 inch,Plumbing,15.00,1,each,1,in_stock,Plumbing Depot,180,Water heater safety
PLUMB-BUNDLE-001,Toilet Repair Kit,Plumbing,28.00,1,kit,0,in_stock,Plumbing Depot,90,"Bundle: Flapper + fill valve + wax ring"
ELEC-001,GFCI Outlet 15A,Electrical,18.00,1,each,0,in_stock,Electrical Supply,180,Tamper resistant
ELEC-002,Standard Outlet 15A,Electrical,3.50,1,each,0,in_stock,Electrical Supply,180,Duplex receptacle
ELEC-003,Light Switch Single Pole,Electrical,2.50,1,each,0,in_stock,Electrical Supply,180,15A rated
ELEC-004,Dimmer Switch LED Compatible,Electrical,22.00,1,each,0,in_stock,Electrical Supply,180,150W LED rating
ELEC-005,Circuit Breaker 15A Single Pole,Electrical,8.00,1,each,1,in_stock,Electrical Supply,730,Specific to panel
ELEC-006,Circuit Breaker 20A Single Pole,Electrical,10.00,1,each,1,in_stock,Electrical Supply,730,Specific to panel
ELEC-007,Smoke Detector Hardwired,Electrical,35.00,1,each,1,in_stock,Electrical Supply,365,Battery backup
ELEC-008,CO Detector Hardwired,Electrical,45.00,1,each,1,in_stock,Electrical Supply,365,Carbon monoxide
ELEC-009,LED Bulb 60W Equivalent,Electrical,4.50,4,each,0,in_stock,Electrical Supply,0,A19 standard base
ELEC-010,LED Bulb 100W Equivalent,Electrical,6.50,4,each,0,in_stock,Electrical Supply,0,A19 standard base
ELEC-011,Wire Nuts Assorted,Electrical,8.00,1,box,0,in_stock,Electrical Supply,0,100 piece assortment
ELEC-012,Romex 14/2 Wire,Electrical,65.00,250,feet,2,in_stock,Electrical Supply,0,Sold per 250ft roll
LOCK-001,Deadbolt Standard Grade 2,Locksmith,45.00,1,each,1,in_stock,Security Systems Inc,365,Keyed entry
LOCK-002,Deadbolt High Security Grade 1,Locksmith,85.00,1,each,2,in_stock,Security Systems Inc,730,Pick resistant
LOCK-003,Door Knob Set Standard,Locksmith,35.00,1,each,1,in_stock,Security Systems Inc,365,Keyed entry
LOCK-004,Key Blank Standard,Locksmith,2.00,10,each,0,in_stock,Security Systems Inc,0,Bulk pricing
LOCK-005,Lock Cylinder,Locksmith,25.00,1,each,1,in_stock,Security Systems Inc,180,Rekey compatible
