---
doc_id: "CATALOG_005"
type: "catalog"
category: "local_services"
building_id: "all_buildings"
effective_date: "2024-01-01"
last_updated: "2024-11-10"
version: "1.0"
priority: "medium"
keywords: ["local services", "catalog", "directory"]
---

Business Name,Category,Phone,Address,Hours,Website,Notes
City Medical Center,Healthcare,(555) 234-5000,123 Health St,24/7,www.citymed.org,Emergency and urgent care
QuickCare Clinic,Healthcare,(555) 234-5100,456 Medical Plaza,M-F 8am-8pm,www.quickcare.com,Walk-in clinic
CVS Pharmacy,Pharmacy,(555) 345-6789,789 Main St,24/7,www.cvs.com,Prescription delivery available
Whole Foods Market,Grocery,(555) 456-7890,321 Market Ave,7am-10pm daily,www.wholefoods.com,Organic and natural foods
Safeway,Grocery,(555) 456-7891,654 Shopping Blvd,6am-11pm daily,www.safeway.com,Full service grocery
City Metro Station,Transportation,311,Corner of 5th & Main,5am-Midnight,www.citymetro.gov,Light rail and bus
Yellow Cab Company,Transportation,(555) 777-7777,N/A,24/7,www.yellowcab.com,Taxi service
City Public Library,Community,(555) 567-8901,100 Library Ln,M-Sa 9am-8pm,www.citylibrary.org,Free programs and WiFi
YMCA Fitness Center,Fitness,(555) 678-9012,200 Wellness Way,M-F 5am-11pm,www.ymca.org,Day passes available
PetCare Veterinary,Pet Services,(555) 789-0123,300 Pet Plaza,M-F 8am-6pm,www.petcarevet.com,Full service vet
BarkPark Dog Daycare,Pet Services,(555) 789-0124,310 Pet Plaza,M-F 7am-7pm,www.barkpark.com,Dog daycare and grooming
Kids Academy Daycare,Childcare,(555) 890-1234,400 Children Ct,M-F 6am-6pm,www.kidsacademy.org,Ages 6 weeks to 5 years
City Elementary School,Education,(555) 901-2345,500 School Dr,M-F 8am-3pm,www.cityschools.edu,Public school district
Public Storage,Storage,(555) 012-3456,600 Storage Rd,6am-9pm daily,www.publicstorage.com,Climate controlled units
UPS Store,Shipping,(555) 123-4567,700 Service St,M-F 8am-7pm,www.theupsstore.com,Shipping and mailbox rental
